x,y,psi,s,velocity,acceleration,curvature
3.52417,0.214841,0.00230263,0.822885,14.2243,-6.90527,0.0380675
3.53408,0.214862,0.00192297,0.832799,14.2195,-6.90642,0.0385262
3.54399,0.21488,0.00153877,0.842712,14.2147,-6.90694,0.0389848
3.55391,0.214893,0.00115002,0.852626,14.2098,-6.90684,0.0394435
3.56382,0.214902,0.000756718,0.862539,14.205,-6.90616,0.0399021
3.57373,0.214908,0.000358874,0.872453,14.2002,-6.90493,0.0403607
3.58365,0.214909,-4.35165e-05,0.882366,14.1954,-6.90321,0.0408193
3.59356,0.214907,-0.000450453,0.89228,14.1906,-6.901,0.0412778
3.60347,0.2149,-0.000861936,0.902193,14.1857,-6.89831,0.0417364
3.61339,0.21489,-0.00127797,0.912107,14.1809,-6.89517,0.0421949
3.6233,0.214875,-0.00169854,0.922021,14.1761,-6.89159,0.0426533
3.63321,0.214856,-0.00212366,0.931934,14.1713,-6.88757,0.0431118
3.64313,0.214833,-0.00255333,0.941848,14.1665,-6.88314,0.0435702
3.65304,0.214806,-0.00298754,0.951761,14.1616,-6.87833,0.0440286
3.66296,0.214774,-0.00342629,0.961675,14.1568,-6.87316,0.044487
3.67287,0.214738,-0.00386959,0.971589,14.152,-6.86761,0.0449453
3.68278,0.214697,-0.00431744,0.981502,14.1472,-6.86171,0.0454036
3.6927,0.214652,-0.00476983,0.991416,14.1424,-6.85557,0.0458618
3.70261,0.214602,-0.00522676,1.00133,14.1376,-6.84918,0.04632
3.71252,0.214548,-0.00568824,1.01124,14.1328,-6.79919,0.0467782
3.7225,0.214489,-0.00615508,1.02122,14.128,-6.79239,0.0468038
3.73248,0.214425,-0.00662217,1.0312,14.1232,-6.78542,0.0468294
3.74245,0.214357,-0.00708952,1.04118,14.1184,-6.77826,0.046855
3.75243,0.214284,-0.00755713,1.05115,14.1136,-6.7709,0.0468806
3.76241,0.214206,-0.008025,1.06113,14.1088,-6.76339,0.0469063
3.77238,0.214124,-0.00849312,1.07111,14.104,-6.75574,0.046932
3.78236,0.214037,-0.0089615,1.08108,14.0993,-6.74795,0.0469577
3.79234,0.213945,-0.00943014,1.09106,14.0945,-6.74001,0.0469834
3.80232,0.213849,-0.00989903,1.10104,14.0897,-6.73192,0.0470091
3.81229,0.213748,-0.0103682,1.11102,14.0849,-6.7237,0.0470348
3.82227,0.213642,-0.0108376,1.12099,14.0802,-6.71538,0.0470606
3.83225,0.213531,-0.0113073,1.13097,14.0754,-6.70697,0.0470864
3.84222,0.213416,-0.0117772,1.14095,14.0707,-6.69849,0.0471121
3.8522,0.213296,-0.0122474,1.15093,14.0659,-6.68991,0.047138
3.86218,0.213172,-0.0127178,1.1609,14.0612,-6.68124,0.0471638
3.87215,0.213042,-0.0131885,1.17088,14.0564,-6.6725,0.0471896
3.88213,0.212909,-0.0136595,1.18086,14.0517,-6.66366,0.0472155
3.89211,0.21277,-0.0141307,1.19084,14.047,-6.65475,0.0472414
3.90208,0.212627,-0.0146022,1.20081,14.0422,-6.64576,0.0472673
3.91206,0.212479,-0.015074,1.21079,14.0375,-6.63671,0.0472932
3.92204,0.212326,-0.015546,1.22077,14.0328,-6.62757,0.0473191
3.93201,0.212168,-0.0160182,1.23075,14.0281,-6.61836,0.0473451
3.94199,0.212006,-0.0164908,1.24072,14.0234,-6.6091,0.047371
3.95196,0.211839,-0.0169635,1.2507,14.0187,-6.59982,0.047397
3.96194,0.211668,-0.0174366,1.26068,14.014,-6.59051,0.047423
3.97192,0.211491,-0.0179099,1.27066,14.0093,-6.58117,0.047449
3.98189,0.21131,-0.0183835,1.28063,14.0046,-6.5718,0.047475
3.99187,0.211124,-0.0188573,1.29061,13.9999,-6.5624,0.0475011
4.00185,0.210934,-0.0193314,1.30059,13.9952,-6.55297,0.0475272
4.01182,0.210739,-0.0198057,1.31057,13.9906,-6.5435,0.0475532
4.0218,0.210539,-0.0202803,1.32055,13.9859,-6.53401,0.0475793
4.03177,0.210334,-0.0207552,1.33052,13.9812,-6.5245,0.0476055
4.04175,0.210125,-0.0212303,1.3405,13.9766,-6.51494,0.0476316
4.05172,0.20991,-0.0217057,1.35048,13.9719,-6.50535,0.0476577
4.0617,0.209691,-0.0221814,1.36046,13.9673,-6.49572,0.0476839
4.07168,0.209468,-0.0226573,1.37044,13.9626,-6.48605,0.0477101
4.08165,0.209239,-0.0231335,1.38041,13.958,-6.47637,0.0477363
4.09163,0.209006,-0.0236099,1.39039,13.9534,-6.46666,0.0477625
4.1016,0.208768,-0.0240866,1.40037,13.9488,-6.45692,0.0477887
4.11158,0.208526,-0.0245636,1.41035,13.9441,-6.44715,0.047815
4.12155,0.208278,-0.0250409,1.42033,13.9395,-6.43735,0.0478412
4.13153,0.208026,-0.0255183,1.4303,13.9349,-6.4275,0.0478675
4.1415,0.207769,-0.0259961,1.44028,13.9303,-6.41762,0.0478938
4.15148,0.207507,-0.0264741,1.45026,13.9257,-6.40769,0.0479201
4.16145,0.207241,-0.0269524,1.46024,13.9211,-6.39773,0.0479464
4.17142,0.206969,-0.027431,1.47022,13.9165,-6.38772,0.0479728
4.1814,0.206693,-0.0279098,1.4802,13.912,-6.37766,0.0479991
4.19137,0.206412,-0.0283889,1.49017,13.9074,-6.36759,0.0480255
4.20135,0.206127,-0.0288682,1.50015,13.9028,-6.35751,0.0480519
4.21132,0.205836,-0.0293478,1.51013,13.8983,-6.34741,0.0480783
4.2213,0.205541,-0.0298277,1.52011,13.8937,-6.33729,0.0481047
4.23127,0.205241,-0.0303078,1.53009,13.8891,-6.32715,0.0481312
4.24124,0.204936,-0.0307882,1.54006,13.8846,-6.317,0.0481576
4.25122,0.204627,-0.0312689,1.55004,13.8801,-6.30681,0.0481841
4.26119,0.204313,-0.0317498,1.56002,13.8755,-6.2966,0.0482106
4.27116,0.203993,-0.032231,1.57,13.871,-6.28638,0.0482371
4.28114,0.203669,-0.0327124,1.57998,13.8665,-6.27612,0.0482636
4.29111,0.203341,-0.0331942,1.58996,13.862,-6.26582,0.0482901
4.30108,0.203007,-0.0336762,1.59993,13.8574,-6.25549,0.0483167
4.31105,0.202669,-0.0341584,1.60991,13.8529,-6.24511,0.0483432
4.32103,0.202326,-0.0346409,1.61989,13.8484,-6.2347,0.0483698
4.331,0.201978,-0.0351237,1.62987,13.844,-6.22425,0.0483964
4.34097,0.201625,-0.0356068,1.63985,13.8395,-6.21378,0.048423
4.35094,0.201267,-0.0360901,1.64983,13.835,-6.20326,0.0484496
4.36092,0.200905,-0.0365737,1.65981,13.8305,-6.19269,0.0484762
